"","x"
"3","1"
"4","1"
"6","1"
"8","1"
"9","1"
"10","1"
"11","0"
"15","1"
"18","0"
"19","0"
"21","1"
"22","1"
"26","1"
"33","1"
"34","1"
"35","1"
"42","1"
"43","0"
"46","1"
"47","1"
"49","1"
"54","1"
"63","1"
"64","1"
"77","0"
"82","1"
"83","1"
"90","0"
"91","1"
"100","1"
"117","0"
"118","1"
"123","1"
"127","1"
"128","1"
"143","1"
"145","1"
"147","1"
"148","1"
"152","0"
"156","1"
"160","1"
"161","1"
"168","0"
"170","0"
"171","1"
"173","1"
"184","0"
"185","0"
"189","1"
"194","0"
"202","0"
"204","1"
"205","0"
"212","0"
"219","0"
"221","0"
"230","1"
"238","0"
"245","0"
"249","1"
"267","0"
"269","0"
"271","0"
"274","0"
"280","0"
"285","0"
"286","0"
"290","0"
"292","0"
"294","1"
"297","1"
"298","0"
"301","0"
"302","0"
"303","1"
