"","x"
"3",TRUE
"4",TRUE
"6",TRUE
"8",TRUE
"9",TRUE
"10",TRUE
"11",TRUE
"15",TRUE
"18",TRUE
"19",TRUE
"21",TRUE
"22",TRUE
"26",TRUE
"33",TRUE
"34",TRUE
"35",TRUE
"42",TRUE
"43",FALSE
"46",TRUE
"47",TRUE
"49",TRUE
"54",TRUE
"63",TRUE
"64",TRUE
"77",TRUE
"82",TRUE
"83",TRUE
"90",TRUE
"91",TRUE
"100",TRUE
"117",TRUE
"118",TRUE
"123",TRUE
"127",TRUE
"128",TRUE
"143",TRUE
"145",TRUE
"147",TRUE
"148",TRUE
"152",TRUE
"156",TRUE
"160",TRUE
"161",TRUE
"168",FALSE
"170",FALSE
"171",TRUE
"173",TRUE
"184",TRUE
"185",FALSE
"189",TRUE
"194",FALSE
"202",FALSE
"204",FALSE
"205",FALSE
"212",FALSE
"219",FALSE
"221",FALSE
"230",FALSE
"238",FALSE
"245",FALSE
"249",TRUE
"267",FALSE
"269",FALSE
"271",TRUE
"274",TRUE
"280",FALSE
"285",FALSE
"286",FALSE
"290",FALSE
"292",FALSE
"294",TRUE
"297",TRUE
"298",FALSE
"301",FALSE
"302",FALSE
"303",TRUE
